what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unhandled event loop exception",1393009602620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393009606317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393009615712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009617010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009626232
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393009627435
opened,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393009628469
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393009628519
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393009632233
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393009632461
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393009633816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393009634067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009634840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009647935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009648649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009678962
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393009687598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1393009692062
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393009692470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393009692788
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393009694253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393009702720
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393009719840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1393009720470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393009722165
error,log,,,"offset 54 is out of [0, 53]",1393009722569
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1393009722580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1393009722866
executed,command,,,"AUTOGEN:::org.eclipse.php.editor.ruler.actions/org.eclipse.php.internal.ui.editor.PhpSelectRulerAction",1393009730432
executed,command,,,"AUTOGEN:::org.eclipse.php.editor.ruler.actions/org.eclipse.php.internal.ui.editor.PhpSelectRulerAction",1393009735069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009737782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009828415
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393009834323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393009834611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009846042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009852377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009862659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009863479
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393009868097
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393009868723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393009869079
error,log,,,"offset 59 is out of [0, 58]",1393009875919
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1393009875932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1393009876217
error,log,,,"offset 56 is out of [0, 55]",1393009891602
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1393009891619
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1393009892289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009892564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009904395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009905635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009916168
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393009920900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393009921375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009923358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009933615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393009937219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009938064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009951760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393009954964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009957198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009958036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009958483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009963846
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393009973053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009982742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393009995588
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393009998757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393010003618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393010004574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393010011741
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393010017988
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393010018792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393010019055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1393010021145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393010022750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393010027661
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393010050598
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393010050834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393010065543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393010068775
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393010073671
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393010074227
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393010076050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393010077704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393010082637
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393010092833
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393010093590
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393010093932
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393010094099
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393010094272
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393010094441
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393010094611
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393010094914
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393010095168
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393010095695
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393010097587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393010097837
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393010100336
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393010100562
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1393010115071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1393010115246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393010116207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393010123823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393010131902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393010132822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393010140968
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393010146080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.contextInformation",1393010158729
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1393010158824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1393010159296
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393010160508
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393010162014
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393010162206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393010163030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393010175366
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393010178392
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393010178580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1393010180298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1393010180768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1393010181144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1393010181525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393010182167
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393010185783
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393010186787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393010205047
