what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1393011131993
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393011132254
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393011132608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1393011138466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393011139961
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1393011140438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1393011140692
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393011144320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1393011145007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393011147095
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1393011147540
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1393011147777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011148655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011154696
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393011157425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393011157722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011160035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011197068
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393011198935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393011212955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011213665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011227109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393011234173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011236651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011241929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1393011247256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393011252409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011253313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011256112
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393011258404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011259551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011261950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393011263904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011264685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011267702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393011269575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011270878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011273464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393011278190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011278789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011282765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393011284393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011284910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011288167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011289713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011290844
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393011293098
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1393011304657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1393011311722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1393011312956
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393011316974
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393011317139
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393011317523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1393011318137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393011320052
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1393011320395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1393011320647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011321765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011368244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011369718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393011537310
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393011540464
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393011540701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393011545747
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393011548414
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1393011548597
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393011551039
