what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393012809879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393012813299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393012833756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393012838447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393012840229
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393012842240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393012842919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393012858158
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.toggle.comment",1393012867442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393012867732
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393012871504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393012871850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393012872871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393012888603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393012894785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393012896201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393012896720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393012901139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393012902085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393012916972
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393012922892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393012923089
error,log,,,"Unhandled event loop exception",1393012936781
error,log,,,"Unhandled event loop exception",1393012938224
error,log,,,"Unhandled event loop exception",1393012938314
error,log,,,"Unhandled event loop exception",1393012939388
error,log,,,"Unhandled event loop exception",1393012940793
error,log,,,"Unhandled event loop exception",1393012941810
error,log,,,"Unhandled event loop exception",1393012942956
error,log,,,"Unhandled event loop exception",1393012942974
error,log,,,"Unhandled event loop exception",1393012944849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1393012946325
error,log,,,"Unhandled event loop exception",1393012947114
error,log,,,"Unhandled event loop exception",1393012947977
error,log,,,"Unhandled event loop exception",1393012948385
error,log,,,"Unhandled event loop exception",1393012949130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393012955301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393012956395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393012962356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393012964019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393012974514
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393012978736
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1393012979498
